series,id,wk,zh,zh_hl,en,diff,diff_icon,diff_txt,d1,d2,d3,d4,g1,g2,g3a,g3a_num1,g3a_num2,g3b,g3b_num1,g3b_num2,g4,key,sub
STOCK,STOCK-039,股市基礎・零股興櫃盤後你不知道的交易時間,興櫃,興櫃,Emerging Stock Market,easy,🌱,入門,🌱,📋,⚠️,🔍,上市上櫃前的<b>預備市場</b>，流動性較低,興櫃是公司正式掛牌前的過渡階段，風險較高,興櫃股票,流動性低,,買賣不易,價差,可能很大,興櫃沒有漲跌停限制，波動可以很劇烈,興櫃是預備市場・風險高流動性差要謹慎,興櫃市場是公司在正式上市或上櫃之前的預備交易場所。很多投資人以為興櫃是撿便宜的好地方，在公司正式掛牌之前提早布局。但興櫃有幾個特性要特別小心。第一，沒有漲跌停限制，一天內的波動可以很大。第二，流動性非常差，買賣的價差可能很大，你出得去不一定，進得去也不一定。第三，公司還沒通過完整的上市審核，資訊透明度也比較低。整體風險比上市上櫃股票高很多，不適合投資新手。
STOCK,STOCK-040,股市基礎・零股興櫃盤後你不知道的交易時間,逐筆交易,逐筆,Continuous Trading,easy,🌱,入門,⚡,🔄,📊,⚠️,每一筆委託<b>即時撮合</b>的交易機制,逐筆交易讓股市更有效率，價格更即時反映,委託送出,立即,,系統,即時,撮合成交,逐筆交易下股價波動更即時，要更快速反應,逐筆交易即時撮合・二零二零年起台股全面實施,台股從二零二零年起全面實施逐筆交易，每一筆委託送出去，系統立刻去撮合，能成交就立刻成交，不用等到下一個撮合時點。在這之前，台股是每幾秒才集中撮合一次，現在變成即時。好處是價格更快反映市場的真實供需，市場效率提升了。但對投資人來說，股價的短期波動也變得更加劇烈，需要更快的反應速度。做短線的人要特別注意這個改變帶來的影響。
STOCK,STOCK-041,股市基礎・零股興櫃盤後你不知道的交易時間,集合競價,集合競價,Call Auction,easy,🌱,入門,🔔,⏰,📊,⚠️,特定時段<b>集中撮合</b>一次的交易方式,開盤和收盤用集合競價，避免瞬間大波動,每天,早上九點,,集合競價決定,開盤價,一次撮合,集合競價時間掛單有機會影響開盤價格,集合競價集中撮合・開收盤都用這個機制,集合競價是把一段時間內收集到的所有委託，集中在一起一次撮合成交的機制。台股的開盤和收盤都採用集合競價，就是為了避免瞬間大量委託湧入造成價格暴衝。在集合競價的時段，你掛的委託不會立刻成交，而是等到撮合時點才統一處理。因此在開盤前的時段掛單，你的委託其實有機會影響當天開盤價格的形成，這是很多主力會利用的機制，散戶要有所認識。
STOCK,STOCK-042,股市基礎・零股興櫃盤後你不知道的交易時間,試撮合,試撮合,Pre-Market Matching,easy,🌱,入門,🔍,⏱️,📊,⚠️,開盤前<b>模擬撮合</b>讓市場看到預估成交價,試撮合讓投資人提前了解開盤價的大概方向,開盤前,八點四十分,,系統開始,試撮合,顯示預估價,試撮合只是參考，實際開盤價還是由競價決定,試撮合是開盤前的預覽・幫助判斷開盤方向,試撮合是台股在正式開盤之前，系統先模擬撮合、讓市場看到預估開盤價的機制，從早上八點四十分開始。你可以在這個時段看到，如果現在開盤的話，股價大概會在什麼位置。這個資訊對於判斷今天的開盤走勢很有參考價值。但要記住，試撮合只是預估，不是實際成交，真正的開盤價還是由九點的集合競價決定，試撮合的結果和實際開盤價可能會有差距。
STOCK,STOCK-043,股市基礎・這檔股票被盯上了要小心,注意股票,注意股,Attention Stock,easy,🌱,入門,👀,⚠️,🚨,📋,交易所<b>公告警示</b>的異常交易股票,注意股代表交易有異常，要特別謹慎評估,股價漲跌,異常,,成交量,爆量,被列入注意,注意股不一定是壞事，但要查清楚原因,注意股是交易所的警示訊號・要查明原因,注意股是交易所發現某一檔股票出現異常交易情形之後，公告出來提醒市場的名單。異常情形可能是股價短期暴漲暴跌，或者成交量突然爆量，這些都不符合正常交易的模式。被列入注意股不一定代表公司有問題，有時候只是正常的消息面刺激。但身為投資人，看到一檔股票被列為注意股，一定要先停下來查清楚原因，不要因為好奇或跟風就衝進去買，保護自己的資金安全是第一優先。
STOCK,STOCK-044,股市基礎・這檔股票被盯上了要小心,處置股票,處置股,Disposition Stock,easy,🌱,入門,🚧,⚠️,🔒,📋,比注意股<b>更嚴格</b>的管制措施，限制交易,處置股交易受限制，流動性更差要格外謹慎,被列入處置,交易受限,,委託需要,預收款券,才能下單,處置股買賣受限，急需出場時可能賣不掉,處置股限制更嚴・流動性大幅下降要當心,處置股票是比注意股更高一個層級的管制措施。被列入處置的股票，交易時必須採用預收款券制度，也就是買股票要先繳錢進來、賣股票要先把股票交出去，才能委託。這讓想進場的人門檻變高，整體流動性大幅下降。如果你手上剛好有股票被列為處置，要特別注意，急著想賣的時候可能找不到買家，出不了場。遇到這類股票，投資前一定要三思。
STOCK,STOCK-045,股市基礎・這檔股票被盯上了要小心,全額交割股,全額交割,Full Cash Payment Stock,easy,🌱,入門,🔴,💸,⚠️,🚨,買賣前必須<b>全額繳清</b>款項的股票,全額交割股通常財務有問題，風險極高,買進,十萬元股票,,必須提前,繳清,全部款項,全額交割股多半是財務危機的訊號,全額交割股是高風險警告・財務問題通常很嚴重,全額交割股是需要在買賣前全額繳清款項的股票，是台灣股市最嚴格的管制措施之一。能被列入全額交割，通常代表公司的財務狀況出現了非常嚴重的問題，可能是長期虧損、現金流斷裂、或者有重大的財務疑慮。這類股票隨時可能面臨下市或清算的風險。除非你有非常充分的研究和承受損失的能力，否則我的建議是完全避開，不值得拿自己的本金去冒這個險。
STOCK,STOCK-046,股市基礎・這檔股票被盯上了要小心,預收款券,預收款券,Pre-Collection,easy,🌱,入門,🔒,💰,📋,⚠️,交易前<b>先繳款或先交股票</b>的管制機制,預收款券讓投機資金無法輕易進出,買股票要,先繳錢,,賣股票要,先交,股票,被預收款券管制的股票流動性很差,預收款券是限制投機的機制・保護市場穩定,預收款券是對特定股票實施的交易管制，目的是讓投機資金沒辦法輕易進出、炒作股價。具體來說，買這類股票要先把錢繳進來，賣這類股票要先把股票交出去，才能委託。這個門檻讓很多短線投機資金望而卻步，也讓這類股票的流動性大幅下降。如果你看上了一檔股票，結果發現它被列入預收款券管制，建議先停下來研究一下為什麼，通常背後都有值得注意的原因。
STOCK,STOCK-047,股市基礎・這檔股票被盯上了要小心,延緩開盤,延緩開盤,Delayed Opening,easy,🌱,入門,⏸️,⏰,📋,⚠️,因<b>重大消息</b>或異常讓開盤時間延後,延緩開盤代表有重大資訊需要市場消化,公司公告,重大消息,,交易所,延緩,該股開盤,延緩開盤後通常有大幅波動，要做好準備,延緩開盤是重大事件的前兆・要謹慎應對,延緩開盤是交易所對個別股票實施的機制，當某一檔股票有重大消息公告或發現交易異常，交易所可以讓這檔股票的開盤時間延後，給市場參與者更多時間消化資訊，避免因為資訊不對稱造成劇烈的混亂。但要知道，被延緩開盤的股票，一旦真正開盤，通常都會有非常大幅的波動。如果你手上有這檔股票，或者想趁機進場，一定要做好心理和資金的準備，不能輕敵。
STOCK,STOCK-048,股市基礎・這檔股票被盯上了要小心,管理股票,管理股,Managed Stock,easy,🌱,入門,📋,⚠️,🔍,🚨,上市條件出現問題<b>面臨下市風險</b>的股票,管理股是公司出現嚴重問題的警告訊號,財務,出現問題,,被列入,管理,股票名單,管理股最終可能下市，投資人血本無歸,管理股是下市前的最後警告・風險極高,管理股是所有警示類型當中風險最高的一種。被列入管理股，代表這家公司的上市條件出現了嚴重問題，可能是財務持續惡化、長期累積虧損、或者違反了交易所的上市規定。這類股票隨時面臨被強制下市的風險。一旦下市，你手上的股票可能就變成壁紙，血本無歸。我的態度很清楚，管理股不是撿便宜的機會，而是一個嚴重的警告訊號。不管股價跌得多便宜，都不值得去冒這個風險。
STOCK,STOCK-049,股市基礎・三大法人在買賣什麼跟你有關係嗎,三大法人,三大法人,Three Major Institutional Investors,easy,🌱,入門,🏛️,👥,📊,⚠️,外資、投信、自營商<b>三類機構</b>投資人合稱,法人動向影響大盤，散戶要學會觀察,三大法人,合計買超,,市場,通常,跟著上漲,法人短期動向不代表長期趨勢，別盲目跟單,三大法人是市場的風向球・但不是萬無一失的指標,三大法人就是外資、投信和自營商這三類機構投資人的合稱。他們手上管理的資金龐大，一舉一動都會對市場造成影響。很多散戶會盯著三大法人的買賣超數字，作為進出場的參考。但我要提醒一件事，法人的短期動向不代表長期趨勢，他們也會看錯方向。而且法人的資訊比散戶快，等你看到數字的時候，他們可能已經開始轉向了。觀察法人是有用的，但不能盲目跟單，要配合自己的判斷。
STOCK,STOCK-050,股市基礎・三大法人在買賣什麼跟你有關係嗎,外資,外資,Foreign Institutional Investors,easy,🌱,入門,🌍,💰,📈,⚠️,來自海外的<b>機構投資人</b>，影響力最大,外資是台股最大的法人力量，動向牽動大盤,外資持有,台積電,,超過,七成,流通股份,外資集中在大型股，對中小型股影響較小,外資是台股最大推手・集中在權值股影響深遠,外資是來自海外的機構投資人，包括各國的基金、退休金、主權基金等。他們是台股最大的法人力量，持有台積電等權值股的比例非常高。外資的動向對台股大盤影響非常深遠，外資大買超的時候，大盤通常偏強；外資大賣超的時候，大盤往往承壓。但要注意，外資主要集中在大型權值股，對中小型股的影響相對有限。關注外資動向對判斷大盤趨勢很有幫助。
STOCK,STOCK-051,股市基礎・三大法人在買賣什麼跟你有關係嗎,投信,投信,Investment Trust,easy,🌱,入門,🏢,📊,💹,⚠️,國內<b>基金公司</b>，操作台灣本土基金,投信買超的股票通常是有基本面支撐的標的,投信,連續買超,,通常代表,有基本面,支撐,投信月底作帳行情是常見的市場現象,投信買超有基本面依據・但也有月底作帳的慣性,投信就是國內的基金公司，負責操作台灣本土的共同基金。相較於外資，投信的操作風格通常更偏向基本面研究，買進的標的大多有一定的財務支撐。有一個市場現象值得注意，就是投信的月底作帳行情。每到月底，投信為了讓旗下基金的績效好看，可能會拉抬手中持股，這個規律很多有經驗的投資人都知道。觀察投信的動向，對選股有一定的參考價值。
STOCK,STOCK-052,股市基礎・三大法人在買賣什麼跟你有關係嗎,自營商,自營商,Proprietary Traders,easy,🌱,入門,🏦,🔄,📊,⚠️,券商用<b>自有資金</b>在市場買賣的交易部門,自營商操作靈活，常用避險和套利策略,自營商,買超,,不一定代表,看好,後市上漲,自營商有避險需求，買超不等於看多,自營商動向複雜・要區分自行買賣和避險部位,自營商是券商用自有資金進行交易的部門，不是幫客戶操作，而是為自己的帳戶賺錢。他們的操作策略比較複雜，除了方向性的買賣，還會有很多避險和套利的操作。所以看到自營商買超，不能直接解讀為看好後市，因為那個買超可能是避險部位，而不是真的看多。相較於外資和投信，自營商的動向解讀難度更高，參考價值也相對較低，要謹慎解讀。
STOCK,STOCK-053,股市基礎・三大法人在買賣什麼跟你有關係嗎,外資買超,外資買超,Foreign Net Buy,easy,🌱,入門,📈,💰,✅,⚠️,外資買進金額<b>大於賣出</b>金額的狀態,外資買超通常對大盤和個股是正面訊號,外資單日,買超一百億,,大盤,通常,偏強上漲,持續買超比單日買超更有參考價值,持續外資買超才有意義・單日數字要謹慎解讀,外資買超就是外資這一天買進的金額大於賣出的金額，代表外資是淨流入的狀態。對市場來說，外資持續買超通常是一個正面的訊號，代表外資對台股或者特定個股的看法偏正面。但要注意，單日的買超數字受到很多短期因素影響，參考價值有限。要看連續幾天、甚至幾週的累計數字，才能判斷外資真正的方向。不要因為某一天外資大買超就衝進去追，要看持續性。
STOCK,STOCK-054,股市基礎・三大法人在買賣什麼跟你有關係嗎,外資賣超,外資賣超,Foreign Net Sell,easy,🌱,入門,📉,💸,❌,⚠️,外資賣出金額<b>大於買進</b>金額的狀態,外資持續賣超對大盤是壓力，要提高警覺,外資單日,賣超一百億,,大盤,通常,承壓下跌,外資賣超不一定是看空，可能是匯率因素,外資賣超要觀察原因・不一定代表看壞台股,外資賣超就是外資這一天賣出的金額大於買進，代表資金在流出。持續的外資賣超對大盤會形成壓力，是要提高警覺的訊號。但解讀外資賣超要注意一件事，外資賣台股不一定是因為看壞台灣，有時候是匯率因素、或者全球資金重新配置的需要，跟台股本身的基本面無關。所以看到外資賣超，要去了解背後的原因，不能單純看數字就做判斷，這樣才能避免做出錯誤的決策。
STOCK,STOCK-055,股市基礎・大股東的錢在哪裡你追得上嗎,主力,主力,Market Maker / Big Player,easy,🌱,入門,🐋,💰,🎯,⚠️,有能力<b>影響股價</b>走勢的大資金操盤者,主力拉抬股價吸引散戶，再高點出貨獲利,主力,買進拉抬,,散戶,跟進追高,主力出貨,主力和散戶站在對立面，要學會看懂意圖,主力影響股價・散戶要學會識別不要當接盤俠,主力是指那些有足夠資金和影響力可以推動股價的大資金操盤者。他們的操作邏輯和散戶完全不同，散戶是跟著市場走，主力是創造市場。主力的慣用手法是先在低檔默默建倉，然後拉抬股價、製造話題吸引散戶跟進，最後在高點把籌碼出給追高的散戶，完成出貨獲利。了解主力的操作邏輯，不是叫你去跟主力對抗，而是讓你知道不要在錯誤的時機點當接盤俠。
STOCK,STOCK-056,股市基礎・大股東的錢在哪裡你追得上嗎,大股東,大股東,Major Shareholders,easy,🌱,入門,👔,🏢,💼,⚠️,持有公司<b>大量股份</b>的重要股東,大股東動向是觀察公司信心的重要指標,大股東,持股增加,,代表對,公司前景,有信心,大股東持股鎖定籌碼，對股價有支撐作用,大股東增持是正面訊號・減持則要提高警覺,大股東是持有公司大量股份的重要股東，通常包括創辦人、董事會成員或者大型機構投資人。觀察大股東的持股變化，是評估公司前景的一個重要參考。如果大股東持續增加持股，代表他們對公司的未來有信心；反過來，如果大股東開始大量減持，那就要小心了，因為他們對公司的了解比任何外部投資人都要深。當然也要考慮減持可能是個人資金需求，不能一刀切，但持續減持確實是一個值得注意的警訊。
STOCK,STOCK-057,股市基礎・大股東的錢在哪裡你追得上嗎,董監事持股,董監持股,Directors and Supervisors Shareholding,easy,🌱,入門,👥,📋,🔍,⚠️,公司<b>董事和監察人</b>的持股比例狀況,董監持股高代表內部人對公司有信心,董監持股,超過三成,,通常是,籌碼,穩定的表現,董監持股設質比例過高是財務風險警訊,董監持股高是正面・但設質比例高要小心,董監事持股是公司董事和監察人持有自家公司股票的比例，這是觀察公司內部人信心的重要指標。董監持股比例高，代表公司的經營層對自家公司有信心，籌碼也相對穩定。但有一個地方要特別注意，就是董監持股的設質比例。如果董監事把大量持股拿去銀行質押借錢，代表他們可能有資金壓力，一旦股價下跌到一定程度，強制補繳保證金的壓力可能引發股價急跌，這是一個很重要的風險訊號。
STOCK,STOCK-058,股市基礎・大股東的錢在哪裡你追得上嗎,內部人,內部人,Insiders,easy,🌱,入門,🔐,👁️,📋,⚠️,擁有公司<b>內部資訊</b>的相關人員,內部人交易受法規嚴格限制，違規處罰重,內部人,買賣自家股票,,必須,申報,並遵守限制,內部人在特定期間買賣股票是違法的,內部人交易有嚴格規範・違規屬內線交易,內部人是指對公司擁有內部資訊的相關人員，包括董事、監察人、大股東和高階主管。因為他們掌握外部投資人不知道的資訊，所以法規對他們的股票交易有非常嚴格的限制。他們在特定期間，例如財報公布前，是不能買賣自家股票的，而且每次買賣都要申報。違反這些規定就構成內線交易，刑事責任非常重。所以看到新聞報導內部人增持，那是合規申報的動作，可以作為參考；但千萬不要被所謂的內部消息吸引而去做違法的事。
STOCK,STOCK-059,股市基礎・大股東的錢在哪裡你追得上嗎,鎖碼,鎖碼,Locked Shares,easy,🌱,入門,🔒,📦,🏦,⚠️,大股東<b>長期持有不賣出</b>讓籌碼穩定,籌碼鎖定越高股票越不容易大跌,大股東,持股鎖定,,市場,流通籌碼,相對減少,鎖碼不代表股價一定上漲，基本面還是關鍵,籌碼鎖定讓股票更穩定・但不保證一定漲,鎖碼是指大股東或主力把大量籌碼長期持有、不賣出的狀態，讓市場上流通的股票相對減少。籌碼鎖定的好處是，市場上能買到的股票少了，一旦有買盤進來，股價就比較容易被推升，也不容易出現大幅的下殺。但鎖碼不是萬靈丹，如果公司基本面出了問題，就算籌碼再集中，股價還是會跌。觀察鎖碼程度可以幫助判斷籌碼結構，但還是要搭配基本面一起看，才是完整的評估。
STOCK,STOCK-060,股市基礎・大股東的錢在哪裡你追得上嗎,散戶,散戶,Retail Investors,easy,🌱,入門,👤,📱,💸,⚠️,用自有資金<b>小額參與</b>市場的一般投資人,散戶是市場中資訊最不對稱的一方,散戶,資金小,,資訊,不如,法人完整,散戶容易被市場情緒影響做出非理性決策,散戶要揚長避短・學習獨立判斷才能生存,散戶就是我們這些用自己的錢、小額參與股市的一般投資人。在市場裡，散戶是資訊最不對稱的一方，法人有研究團隊、有管道，我們能看到的資訊往往是最後才公開的。這不代表散戶一定輸，但要知道自己的劣勢在哪裡。散戶的優勢是靈活，沒有被迫持有或被迫賣出的壓力，可以等待真正好的機會。要學會控制情緒、獨立判斷，不要跟著市場的恐慌和貪婪起舞，這是散戶能在市場長期生存的關鍵。
STOCK,STOCK-061,股市基礎・融資絞肉機還是加速器,融資,融資,Margin Buying,easy,🌱,入門,⚠️,💸,📈,🔥,向券商<b>借錢買股票</b>的信用交易方式,融資放大獲利也放大虧損，是雙面刃,自有資金,四十萬,,加上融資,六十萬,共一百萬買股,股票下跌時融資的損失比例遠超股價跌幅,融資是雙面刃・放大獲利也放大虧損,融資是向券商借錢來買股票。你自己有四十萬，券商借你六十萬，你就可以用一百萬的資金買股票。聽起來很吸引人，獲利放大了。但問題是，虧損也同樣放大了。股票跌一成，你虧的是自有資金的兩成五。更嚴重的是，如果股票繼續跌，你的自有資金可能很快被侵蝕掉，觸發維持率不足的警告，面臨追繳甚至斷頭。融資是我親身經歷過痛苦的工具，我用慘痛的代價學到了，不是不能用，但一定要非常謹慎。
STOCK,STOCK-062,股市基礎・融資絞肉機還是加速器,融券,融券,Short Selling,easy,🌱,入門,📉,💰,🔄,⚠️,向券商<b>借股票來賣出</b>的放空機制,融券讓投資人可以在股票下跌時獲利,預期股票,會下跌,,向券商,借股票,賣出獲利,融券有回補壓力，最後回補日要特別注意,融券是放空工具・回補壓力會推升股價,融券是向券商借股票來賣出，等股票跌了之後再買回來還給券商，賺取中間的差價。這是看空股票、預期股價下跌時可以使用的工具。但融券有一個很重要的機制要了解，就是最後回補日。到了最後回補日，所有融券的人都必須把股票買回來還給券商，這個強制回補的動作有時候反而會推升股價，造成所謂的軋空行情。融券操作的難度不低，要對時機和風險有充分的理解才能操作。
STOCK,STOCK-063,股市基礎・融資絞肉機還是加速器,信用交易,信用交易,Margin Trading,easy,🌱,入門,💳,🏦,⚠️,融資和融券的<b>統稱</b>，需要開立信用帳戶,信用交易放大資金效率，但風險也同步放大,開立,信用帳戶,,才能進行,融資,或融券操作,信用交易需要開戶審核，不是每個人都能申請,信用交易是進階工具・要先了解風險再申請,信用交易是融資和融券的統稱，要進行信用交易需要先開立信用帳戶，不是一般的證券帳戶就可以。開信用帳戶有一些條件，例如開戶滿一定時間、有一定的交易經驗等。信用交易的核心是以較少的自有資金，透過借貸放大交易規模。這聽起來很美好，但放大的不只是獲利，風險也同樣放大。在還沒有充分了解融資融券的運作機制和風險之前，建議不要急著申請信用帳戶。
STOCK,STOCK-064,股市基礎・融資絞肉機還是加速器,融資成數,融資成數,Margin Ratio,easy,🌱,入門,📊,💰,🔢,⚠️,融資時<b>券商貸款比例</b>上限的規定,融資成數決定你最多能借多少錢來買股,上市股票,融資成數六成,,自備款,四成,即可買進,融資成數越高槓桿越大，風險也越高,融資成數決定槓桿大小・上市上櫃成數不同,融資成數是券商可以借給你的金額比例上限。以上市股票為例，融資成數通常是六成，代表你買一百元的股票，券商最多借給你六十元，你自己要出四十元。成數越高，代表你可以用越少的自有資金控制越大的部位，槓桿效果越大。但槓桿大，風險也跟著大。上市和上櫃的融資成數可能不一樣，某些特定股票的融資成數還可能被調降，這些細節在操作前都要確認清楚。
STOCK,STOCK-065,股市基礎・融資絞肉機還是加速器,融資維持率,維持率,Maintenance Margin Ratio,easy,🌱,入門,📏,⚠️,🚨,🔢,融資帳戶的<b>安全底線</b>，低於一百三十%要追繳,維持率是融資安全的關鍵指標，一定要監控,維持率,低於一百三十%,,券商發出,追繳,通知,維持率的計算要把借款金額算清楚,維持率低於一百三十%就要追繳・要密切監控,融資維持率是你融資帳戶的安全底線，計算方式是股票市值除以融資金額。當維持率低於一百三十%，券商就會發出追繳通知，要求你補繳保證金或者賣掉部分持股。如果在期限內沒有處理，券商就有權利強制把你的股票賣掉，這就是斷頭。維持率是融資操作中最重要的數字，股票一旦開始下跌，維持率會很快惡化。做融資的人，每天都必須緊盯這個數字，不能大意。
STOCK,STOCK-066,股市基礎・融資絞肉機還是加速器,融資追繳,追繳,Margin Call,easy,🌱,入門,🚨,📞,💸,⚠️,維持率不足時券商<b>要求補繳</b>保證金,追繳是融資爆倉前的最後警告，要立即處理,維持率,不足,,券商發出,追繳,通知補繳,追繳後不補繳就會被強制斷頭,追繳是最後警告・不處理就面臨強制斷頭,融資追繳俗稱Margin Call，是維持率低於安全線之後，券商要求你補繳保證金的通知。這是一個非常嚴肅的警告，代表你的融資帳戶已經到了危險的邊緣。收到追繳通知之後，你必須在規定的時間內，或者補繳足夠的保證金、或者主動賣掉部分股票降低融資部位。如果什麼都不做，券商就會在市場開盤的時候強制把你的股票賣掉，那個時間點和價格你完全無法控制，損失可能比你預期的大很多。
STOCK,STOCK-067,股市基礎・斷頭那天到底發生了什麼事,斷頭,斷頭,Forced Liquidation,easy,🌱,入門,💥,📉,😱,⚠️,融資維持率不足被<b>強制賣出</b>的慘烈結局,斷頭是融資最壞的結果，損失往往超乎預期,維持率,持續下降,,券商,強制,賣出股票,市場崩跌時斷頭潮會加速股價下跌,斷頭是融資最壞的結局・損失往往超乎想像,斷頭是融資操作最慘烈的結局。維持率跌破安全線、追繳也沒有補繳，券商就會在市場開盤時強制把你的股票賣掉。問題是，斷頭往往發生在市場大跌的時候，這時候大家都在賣，流動性很差，你的股票可能要在很差的價格才賣得掉，損失比你想像的還要大。更可怕的是，大量斷頭同時發生，會進一步壓低股價，形成惡性循環。我親眼見過很多人因為斷頭而財務大傷，那種痛苦是很難描述的。
STOCK,STOCK-068,股市基礎・斷頭那天到底發生了什麼事,強制回補,強制回補,Forced Buy-to-Cover,easy,🌱,入門,⚡,🔄,💸,⚠️,融券維持率不足被<b>強制買回</b>股票還給券商,強制回補和斷頭都是信用交易的最壞結局,融券,維持率不足,,券商,強制,買回股票,強制回補可能在高點被迫買回損失更大,強制回補是融券的強制平倉・損失難以控制,強制回補是融券操作出問題時的強制平倉。你借券賣出之後，如果股票不跌反漲，你的融券維持率就會惡化。當維持率不足，券商就會強制幫你把股票買回來還給券商，完成回補。問題是，強制回補往往發生在股票已經大漲的時候，這時候你被迫在高點買回，虧損非常可觀。放空本來就有理論上無限大的虧損風險，因為股票可以一直漲，沒有上限。這是融券操作最大的風險之一，一定要事先充分理解。
STOCK,STOCK-069,股市基礎・斷頭那天到底發生了什麼事,融券回補,融券回補,Short Covering,easy,🌱,入門,🔄,📈,💰,⚠️,融券操作結束時<b>買回股票</b>還給券商,回補動作本身會產生買盤推升股價,融券,借股賣出,,到期,買回還券,完成回補,回補時機選擇不對會擴大虧損,融券回補是空頭平倉・大量回補會推升股價,融券回補就是你之前借券賣出之後，把股票買回來還給券商的動作。如果你放空成功、股票真的跌了，這時候回補就是獲利了結。但如果放空錯誤、股票漲了，回補就是認賠出場。融券回補有一個有趣的市場效應，就是大量的融券回補會產生買盤，有時候反而會推升股價。所以當市場上融券餘額很高的時候，一旦出現利多消息，逼空行情可能會非常凶猛。這是觀察融券餘額的重要意義。
STOCK,STOCK-070,股市基礎・斷頭那天到底發生了什麼事,最後回補日,最後回補日,Last Buy-to-Cover Date,easy,🌱,入門,📅,⏰,🚨,⚠️,融券必須在<b>此日前</b>完成回補的截止日,最後回補日前融券空單必須強制平倉,除權息,基準日前,,所有融券,必須,完成回補,最後回補日前股票可能被逼空急漲,最後回補日前融券要強制平倉・逼空風險高,最後回補日是融券操作的截止期限，在這一天之前所有的融券都必須完成回補。最常見的最後回補日是在除權息基準日前，因為要避免融券的利益衝突問題。最後回補日前，所有的空單都被迫要平倉，這個強制買盤有時候會推動股價急漲。如果你手上有融券部位、又沒有注意到最後回補日，可能會被迫在不好的時間點回補，影響很大。做融券之前，一定要把最後回補日記清楚。
STOCK,STOCK-071,股市基礎・斷頭那天到底發生了什麼事,軋空行情,軋空,Short Squeeze,easy,🌱,入門,🚀,💥,📈,⚠️,融券空單被迫大量回補<b>推升股價</b>急漲,軋空行情讓放空者損失慘重，股價急漲,融券,餘額很高,,利多消息,出現,空單被迫回補,融券比越高軋空風險越大，放空要謹慎,軋空讓空頭損失慘重・融券比高時要特別小心,軋空行情是放空者的惡夢。當市場上融券餘額很高，也就是有很多人在放空一檔股票，這時候如果出現一個大利多消息，或者有主力刻意拉抬股價，那些放空的人就會被迫紛紛回補。大量的回補買盤湧入，進一步推高股價，逼得更多空單被迫回補，形成一個向上的螺旋。股價在短時間內可以漲得非常猛，讓空方損失慘重。融券比越高的股票，被軋空的風險就越大，放空前一定要把這個風險考慮進去。
STOCK,STOCK-072,股市基礎・斷頭那天到底發生了什麼事,券資比,券資比,Short-to-Long Ratio,easy,🌱,入門,📊,🔢,⚖️,⚠️,融券餘額除以融資餘額的<b>比值</b>,券資比高代表市場看空氣氛濃厚,融券餘額,一萬張,,融資餘額,十萬張,券資比一成,券資比過高可能是軋空行情的前兆,券資比高表示空方力量強・但也可能引發軋空,券資比就是融券餘額除以融資餘額，用來衡量市場上做空和做多的相對力量。券資比高，代表相對於做多的人，做空的人比例較高，市場空頭氣氛較濃。但券資比高也有另一層意思，就是一旦出現利多消息，這些空單被迫回補的壓力很大，軋空行情的風險隨之提高。所以券資比是一個雙面解讀的指標，高券資比不一定代表股票會繼續跌，有時候反而是上漲動能的來源。要結合其他因素一起判斷。
STOCK,STOCK-073,股市基礎・K線說的話你聽得懂嗎,K線,K線,Candlestick Chart,easy,🌱,入門,🕯️,📊,📈,⚠️,記錄股價<b>開高低收</b>四個價格的圖形,K線是技術分析最基本的工具，每天都在用,一根K線,記錄一天,,開盤,最高,最低,收盤四個價格,K線只是歷史資料，不能保證未來走勢,K線記錄價格歷史・是技術分析的基礎語言,K線是股市技術分析最基本的圖形工具，每一根K線記錄了特定時間段內的四個關鍵價格：開盤價、最高價、最低價和收盤價。這四個數字組合在一起，可以讀出很多市場資訊。很多投資人學技術分析，就從看懂K線開始。但我要先說一個重要的觀念：K線只是歷史資料的記錄，它告訴你過去發生了什麼，但沒辦法百分之百預測未來。K線是工具，不是水晶球，要配合其他資訊一起使用。
STOCK,STOCK-074,股市基礎・K線說的話你聽得懂嗎,陽線,陽線,Bullish Candlestick,easy,🌱,入門,🔴,📈,💪,⚠️,收盤價<b>高於開盤價</b>的K線，通常為紅色,陽線代表當天買方力量強於賣方,開盤,一百元,,收盤,一百零五元,紅色陽線,單根陽線不代表趨勢，要看連續型態,陽線代表當天買方勝・但不保證明天繼續漲,陽線就是當天收盤價高於開盤價的K線，在台灣通常用紅色來表示，所以也叫紅K線。陽線代表這一天買方的力量大於賣方，股價從開盤到收盤是往上走的。陽線的實體越長，代表當天多方的力量越強。但要注意，單根陽線只能說明當天的多空情況，不能單獨用來判斷未來趨勢。要看幾根K線組合起來的型態，以及搭配成交量，才能做出比較可靠的判斷。
